node_id,object_type,type,telecom-unit_type,frontier,owner,stage,vpn,name,address,description,cam-static,cam-dynamic,cam-bio,cam-all,latitude,longitude,node_distance,cost
?,ivn,camera-dynamic,,32,rm,2,,ИВН-РМС-32-П1,"г. Саранск, ул. Коммунистическая, 10",Поворотная камера,,,,,54.18375810274010,45.19015320196510,0,15000
УС02,ivn,camera-static,,2,rm,1,,ИВН-РМС-2-С2,"г. Саранск, ул. Володарского, 7",Стационарная камера,,,,,54.18300609773300,45.19004323139540,0,15000
?,ivn,camera-static,,3_7_79,rm,1,,ИВН-РМС-3-С1,"г. Саранск, ул. Б.Хмельницкого, 36",Стационарная камера,,,,,54.1864035301363,45.17992686753300,0,15000
?,ivn,camera-static,,3_7_79,rm,1,,ИВН-РМС-79-С1,"г. Саранск, ул. Б.Хмельницкого, 36",Стационарная камера,,,,,54.1864412849042,45.18038284306550,0,15000
?,ivn,camera-dynamic,,3_7_79,rm,1,,ИВН-РМС-79-П1,"г. Саранск, ул. Б.Хмельницкого, 36",Поворотная камера,,,,,54.18640510323280,45.1804177117827,0,15000
?,ivn,camera-static,,4,rm,1,,ИВН-РМС-4-С1,"г. Саранск, ул. Большевистская, 2",Стационарная камера,,,,,54.17988151137620,45.18045165195810,0,15000
?,ivn,camera-static,,4,rm,1,,ИВН-РМС-4-С2,"г. Саранск, ул. Большевистская, 2",Стационарная камера,,,,,54.17988780483980,45.18063940658910,0,15000
?,ivn,camera-dynamic,,4,rm,1,,ИВН-РМС-4-П1,"г. Саранск, ул. Большевистская, 2",Поворотная камера,,,,,54.17983745710420,45.18055357590060,0,15000
?,ivn,camera-static,,5,rm,1,,ИВН-РМС-5-С3,"г. Саранск, ул. Большевистская, 25",Стационарная камера,,,,,54.18339719420000,45.18284954681640,0,15000
?,ivn,camera-dynamic,,5,rm,1,,ИВН-РМС-5-П1,"г. Саранск, ул. Большевистская, 25",Поворотная камера,,,,,54.18339562096430,45.18236943140270,0,15000
?,ivn,camera-static,,5,rm,1,,ИВН-РМС-5-C2,"г. Саранск, ул. Большевистская, 25",Стационарная камера,,,,,54.1829850054427,45.18229164734130,0,15000
